;price;odometer
1072;17990;72565
1073;15990;113419
1074;26990;188279
1075;29490;29507
1076;26990;131528
1077;54990;77123
1078;21490;51571
1079;16990;28462
1080;16490;68289
1081;24990;102354
1082;14990;76638
1083;20995;79254
1086;37995;66788
1089;23995;33350
1092;17995;29589
1095;5250;163000
1096;0;38533
1097;0;119489
1098;0;41588
1099;0;197123
1100;4900;118000
1101;13995;55431
1104;0;128821
1105;0;119489
1106;6295;141
1107;15995;94217
1108;14995;125528
1109;8995;77412
1110;4800;143000
1112;4695;94000
1113;499;163614
1116;25900;109000
1117;10495;104613
1123;5295;148000
1124;3995;55000
1125;12900;68121
1126;1500;300000
1129;6900;107000
1133;10995;121090
1134;7995;101484
1135;42995;12448
1136;0;0
1138;20990;104422
1140;5980;116000
1142;6250;107054
1144;17990;71665
1145;33995;44439
1148;13995;45842
1151;40995;29248
1154;24995;17063
1157;26995;74730
1160;16995;86880
1163;16995;52556
1166;26995;28428
1169;29995;55402
1172;17995;63210
1175;16995;93333
1178;44995;83449
1181;25995;41386
1184;25490;95173
1185;9000;151000
1186;6995;141477
1188;5000;184576
1189;13500;97000
1190;5999;127000
1191;7500;99100
1192;2700;189000
1193;4995;138957
1194;10995;149993
1195;3995;184793
1196;12995;96541
1197;6995;128559
1198;22995;63778
1199;4995;116952
1200;3995;179642
1201;14995;19224
1202;11995;146216
1203;10200;81500
1204;2999;139000
1205;6750;50000
1206;0;103939
1207;9000;32473
1208;4995;199780
1214;19500;168250
1215;9500;124000
1216;2000;165609
1217;16888;168763
1218;27888;107593
1219;29555;98223
1220;5000;92300
1222;32990;93103
1224;7995;107934
1225;2650;94000
1226;2400;90000
1227;5800;148000
1228;7500;102000
1229;4750;133000
1230;4250;90000
1231;14000;89000
1232;6750;89000
1233;6650;130000
1234;14950;107000
1236;1000;214000
1237;13800;65000
1238;39990;103022
1239;16000;78000
1240;39990;79775
1241;5750;142300
1242;15500;32000
1243;0;71001
1244;2000;227000
1245;11995;110399
1246;5995;94500
1247;34900;77000
1248;0;0
1249;44900;40300
1250;11500;144000
1256;18998;68645
1257;7498;145750
1258;4998;127775
1259;5998;92059
1260;4998;176857
1261;7498;154852
1264;17995;108377
1265;2795;170979
1266;8999;165000
1268;21000;74000
1273;11999;113816
1274;24550;61563
1275;29995;36670
1276;8995;101210
1277;33995;13800
1278;22995;38744
1280;36995;108196
1281;0;134345
1283;7600;141000
1284;0;92026
1285;0;104482
1286;0;185919
1287;0;155447
1288;25000;174000
1289;30995;24402
1290;0;59384
1291;31000;81000
1292;0;151008
1293;0;187880
1294;29990;29001
1295;32995;16441
1297;5500;58631
1299;7800;190000
1300;22500;182000
1301;1500;63203
1302;9500;128400
1303;11598;64281
1304;1900;151235
1305;0;66176
1306;14995;112516
1307;3000;172578
1308;4800;160000
1309;17500;12899
1310;3500;114000
1311;27995;43000
1312;8395;123467
1314;16000;55350
1315;36900;6500
1316;5899;147000
1318;11500;129000
1319;6995;124503
1320;20995;106253
1321;7995;111162
1322;5995;144911
1323;6995;147187
1324;7995;138197
1325;9995;167355
1326;7995;118274
1327;2000;200000
1328;7995;155239
1329;6995;136774
1330;3995;165709
1331;21995;127808
1332;19995;63643
1333;14995;47068
1334;6495;245000
1335;14995;38002
1336;7200;79000
1337;6495;195000
1338;11000;145512
1339;1850;193600
1340;23995;49579
1342;6995;70000
1343;14995;35994
1344;2995;112000
1345;30995;21037
1346;4000;170000
1347;8995;129338
1348;23995;63703
1350;1000;202000
1351;4000;200000
1352;11995;68351
1353;5995;138000
1354;5995;128000
1355;6875;77000
1356;6995;121000
1357;7995;66000
1358;10975;111000
1359;4995;149000
1360;24944;100643
1363;5995;125000
1364;4875;91000
1365;3995;93000
1366;3500;145000
1367;7995;101000
1368;3995;117000
1369;5995;133000
1370;4995;124000
1371;4995;81000
1372;15300;100338
1373;27900;143000
1374;13995;64743
1376;11995;127524
1379;20000;189000
1380;14998;130630
1381;17998;31557
1382;7995;121356
1383;17998;96998
1386;13998;24870
1387;12998;100929
1388;21995;32998
1389;32998;18562
1390;13998;24365
1391;16598;28024
1392;23998;48400
1393;12998;57078
1394;33900;72000
1395;24998;34900
1396;3995;112000
1397;7998;117369
1398;8998;128188
1399;6998;101669
1400;16200;49100
1401;16998;74097
1402;13998;24849
1403;4950;118876
1404;20998;83313
1405;10998;84894
1406;12998;96035
1407;18998;79284
1408;39944;73326
1411;10950;97368
1412;7998;62445
1413;15998;83736
1414;30998;16556
1415;39998;60283
1416;21998;27549
1417;20998;52822
1418;19998;88901
1419;31598;10530
1420;16998;47081
1421;14998;5
1422;13998;94770
1423;8998;72304
1424;24944;56169
1427;14998;5
1428;33995;31171
1429;19598;37589
1430;21998;27549
1431;18598;35314
1432;15998;47081
1433;31998;12390
1434;26998;42258
1436;18998;117350
1437;30998;66337
1438;23998;36039
1439;18999;35045
1440;39998;8854
1441;15998;23790
1442;32998;1296
1443;24998;13625
1444;11598;64274
1445;16998;99442
1446;29995;31612
1448;21998;42211
1449;18598;35314
1450;21998;17074
1451;18598;35314
1452;21998;36647
1453;23998;48400
1454;24998;32348
1455;13998;24365
1456;18998;80882
1457;21998;33558
1458;3398;158739
1459;14998;4358
1460;14998;2949
1461;5998;152963
1462;17998;60098
1463;14998;2949
1464;14998;4358
1466;13995;62898
1467;21944;69784
1474;24995;50793
1475;27995;43480
1476;23495;43772
1477;18495;17221
1478;18800;27067
1480;24900;59674
1481;18495;12687
1482;16495;38416
1483;0;71659
1484;20995;64545
1485;24900;68017
1486;39995;8003
1487;21495;47881
1488;5000;41091
1489;11500;177000
1490;22900;71000
1492;10495;131347
1493;19995;12132
1496;17995;35113
1499;8495;147395
1500;23995;44358
1504;16000;91000
1516;9995;59088
1522;26999;93200
1527;45990;67458
1528;17990;64327
1530;5400;158935
1531;13990;139606
1532;18995;54354
1533;5000;154840
1534;8995;142000
1536;6995;117000
1537;7995;120000
1538;11000;111700
1540;20000;1300000
1541;6000;65000
1542;6995;156000
1543;14998;29139
1544;7995;104000
1545;6500;150000
1546;8992;26589
1547;16911;72921
1549;4500;180000
1551;10995;150000
1552;3800;171276
1554;33944;12783
1557;7900;168000
1558;8500;142000
1560;1000;160000
1562;5000;200000
1563;2000;115000
1564;15700;74000
1566;2500;226362
1567;3700;119500
1572;11500;92000
1574;15400;55000
1576;33500;47000
1579;4600;140000
1580;6800;168200
1581;2700;325000
1582;6995;123913
1583;15500;66000
1584;8000;195000
1587;9500;188246
1588;16000;100000
1589;9250;106000
1590;9000;130000
1591;4495;129000
1593;800;144000
1594;7995;41000
1595;4500;142
1597;18990;107110
1601;41000;17588
1602;59000;16500
1603;9500;67121
1607;8250;111000
1608;24990;108736
1609;4000;103000
1610;7550;121500
1612;4000;132000
1613;3800;198000
1614;1100;225000
1616;11000;120000
1617;2000;190853
1620;7950;90585
1622;6625;119200
1623;8000;81800
1624;16495;35472
1625;18995;25843
1626;5995;138000
1627;4000;305000
1629;3500;132306
1631;15995;113124
1632;8995;64263
1633;7750;67000
1634;63944;5791
1637;13500;218000
1638;13495;71907
1639;11995;46507
1640;3000;327000
1642;14995;134435
1643;3800;127000
1645;5995;128000
1646;6875;77000
1647;6995;121000
1648;13495;30025
1649;7995;66000
1650;10975;111000
1651;4995;149000
1652;5900;162922
1653;10995;52196
1654;17995;32405
1655;11995;50268
1656;7995;144634
1657;5995;125000
1658;4875;91000
1659;3995;93000
1660;7995;101000
1662;21995;49474
1663;3995;117000
1664;5995;133000
1665;4995;124000
1666;4995;81000
1670;15850;19764
1671;4995;116402
1672;9995;160500
1673;13995;113975
1674;13995;132697
1675;8795;98691
1676;5995;117103
1677;5995;189382
1678;6995;147241
1679;8695;117108
1680;8395;107021
1681;1450;121415
1683;23995;87000
1684;7995;86000
1685;3300;149000
1686;33995;43000
1687;13800;120314
1688;2800;312000
1689;9995;88000
1690;6985;103588
1691;54995;950
1692;0;86811
1693;42990;94670
1694;28888;126528
1695;19995;64377
1696;7495;136936
1697;7995;129545
1698;12988;100352
1699;18995;53553
1700;8995;196030
1701;10995;73064
1702;18495;49013
1703;26995;54602
1704;22495;36571
1707;27990;55189
1708;34990;78072
1709;9995;82831
1710;6596;96078
1711;18995;57566
1712;5995;155000
1714;3400;155000
1715;14400;69700
1716;8900;140
1717;18500;66300
1718;17995;28100
1719;40944;80990
1723;13995;97289
1724;9995;73765
1725;6999;135000
1726;9999;143000
1727;5899;93000
1728;10499;106000
1729;5999;129000
1730;10499;100000
1731;13999;99000
1732;7899;127000
1733;4999;140000
1734;8999;73000
1735;11999;93720
1736;9999;131000
1737;9499;102000
1738;8999;124000
1739;0;55525
1740;6499;112000
1741;12499;109000
1742;10799;74000
1743;7999;99000
1744;5499;75000
1745;9999;170000
1746;15499;134000
1747;9999;89349
1748;10999;121000
1750;4950;67000
1751;22995;52903
1752;24995;74951
1753;10995;53751
1754;8995;98520
1755;14995;107633
1756;24944;40363
1759;14995;141556
1760;7995;162551
1761;8995;130597
1762;19995;116775
1763;10995;136876
1766;23944;73962
1772;12995;37314
1773;15995;25646
1774;11944;141206
1777;23995;41204
1780;24944;90463
1783;15995;41835
1784;6250;120000
1785;16995;34140
1786;3200;137946
1787;14995;37790
1788;10995;44420
1789;17495;21000
1790;15995;32282
1791;7950;173396
1792;11995;37531
1793;18495;18300
1795;19495;16500
1796;17495;33000
1797;16995;29000
1798;25995;13000
1799;5895;145392
1800;14995;108897
1801;13995;32789
1803;24995;49400
1804;8995;134000
1805;15995;39163
1807;10750;118189
1808;9500;165000
1809;16995;34300
1810;17495;19000
1811;6900;101000
1812;19995;24000
1813;15495;49200
1814;25995;3000
1815;6995;115000
1816;14998;4358
1817;14998;2949
1818;17998;60098
1819;5998;152963
1820;14998;2949
1821;14998;4358
1822;3398;158739
1823;21998;33558
1824;18998;80882
1825;13998;24365
1826;24998;32348
1827;23998;48400
1828;21998;36647
1829;18598;35314
1830;21998;17074
1831;18598;35314
1832;21998;42211
1833;16998;99442
1834;11598;64274
1835;24998;13625
1836;32998;1296
1837;15998;23790
1838;39998;8854
1839;18999;35045
1840;11996;91896
1841;23998;36039
1842;30998;66337
1843;7950;180709
1844;18998;117350
1846;26998;42258
1847;31998;12390
1848;15998;47081
