,price,year,condition,odometer,title_status,transmission,type,split
818,3500,2008,excellent,155000.0,clean,manual,hatchback,-0.6150130178125401
819,8500,2008,excellent,124227.0,clean,manual,sedan,-0.9124664669755395
824,13500,2013,excellent,78000.0,clean,automatic,SUV,-0.4281103903115162
826,25450,2015,excellent,53000.0,clean,automatic,truck,-0.23148280078414807
827,29490,2015,good,112150.0,clean,automatic,truck,0.14656648774593056
828,11499,2017,excellent,123000.0,clean,automatic,sedan,0.24901722244020943
830,6499,2008,excellent,140000.0,clean,automatic,wagon,1.6064214450818597
831,5999,2007,excellent,98000.0,clean,automatic,SUV,1.7512909999322746
833,9499,2015,like new,89349.0,salvage,automatic,SUV,0.22027505025922875
835,9999,2010,excellent,170000.0,clean,automatic,truck,0.15873848239616997
836,5499,2006,excellent,75000.0,clean,automatic,coupe,-0.638583724083344
837,7999,2010,excellent,99000.0,clean,manual,wagon,1.6166693794603844
839,12499,2014,excellent,109000.0,clean,automatic,SUV,1.1024266201540325
841,8999,2014,excellent,124000.0,clean,manual,wagon,-1.4562548973375746
842,9499,2015,excellent,102000.0,clean,automatic,SUV,0.11516516894777841
843,9999,2012,excellent,131000.0,clean,automatic,SUV,0.6171160821154009
844,11999,2015,like new,93720.0,rebuilt,automatic,wagon,-0.5020344831351831
847,7899,2013,excellent,127000.0,clean,manual,coupe,0.4409110391297534
850,950,1995,good,275200.0,clean,manual,wagon,-0.3008979543325987
852,10499,2015,excellent,106000.0,clean,automatic,sedan,-1.2219277407083837
856,6999,2008,excellent,135000.0,clean,automatic,wagon,-0.19145032832164915
860,2800,2008,good,154081.0,clean,automatic,sedan,1.0881210632551264
862,15995,2008,excellent,117000.0,clean,automatic,SUV,-0.49902782159064085
863,19995,2015,excellent,97000.0,clean,automatic,pickup,1.0344206368026116
865,11995,2011,excellent,121000.0,clean,automatic,mini-van,3.0478165277398572
872,20990,2015,good,134794.0,clean,automatic,truck,0.23242216179077568
882,13995,2009,excellent,148972.0,clean,automatic,pickup,0.359396923486666
883,46000,2017,like new,102000.0,clean,automatic,pickup,-2.0915708791436427
885,13995,2014,excellent,103162.0,clean,automatic,sedan,-0.8206416339087721
887,10995,2013,excellent,120351.0,clean,automatic,sedan,0.08794604411115284
892,13500,2013,excellent,68500.0,clean,automatic,sedan,-0.13692748321096065
896,17983,2017,good,24364.0,clean,automatic,van,-0.7536329402491838
897,14987,2010,good,89976.0,clean,automatic,van,1.3948778812223448
900,4500,1993,fair,180312.0,clean,manual,offroad,-0.7119926891066597
901,8995,2012,excellent,133000.0,clean,automatic,coupe,0.7357186546805254
903,2500,2004,good,148000.0,clean,automatic,SUV,0.6620424290299226
911,2000,1998,good,215775.0,clean,manual,wagon,-0.1980954114733797
917,3500,1998,excellent,165000.0,clean,automatic,sedan,-1.3451630163231167
918,19990,2013,good,77755.0,clean,automatic,truck,0.7012733054173801
919,10995,2011,excellent,42775.0,clean,automatic,sedan,2.355476606227205
929,22900,2011,excellent,54000.0,clean,automatic,pickup,1.0676970660651701
934,5000,1983,excellent,84778.0,clean,manual,hatchback,-0.7693200838037704
936,4000,2006,good,249000.0,clean,automatic,SUV,0.2749847280427762
938,17750,2017,like new,30294.0,clean,automatic,hatchback,-0.5947011176658705
940,1500,2005,good,202400.0,clean,automatic,sedan,-1.3991164873236068
947,24495,2019,like new,10200.0,rebuilt,automatic,wagon,-0.5598475336432298
948,12499,2014,excellent,92750.0,clean,automatic,SUV,1.2208460228497169
